Id,Label,timeset,degree,modularity_class,vote_average0
0,0,,3,25,7.0
1,1,,9,25,7.0
2,2,,2,855,6.0
3,3,,10,98,8.0
4,4,,2,928,6.0
5,5,,4,21,6.0
6,6,,3,1063,7.0
7,7,,9,928,7.0
8,8,,14,1041,7.0
9,9,,2,949,6.0
10,10,,7,499,5.0
11,11,,4,855,6.0
12,12,,9,25,7.0
13,13,,5,25,6.0
14,14,,2,949,7.0
15,15,,2,855,6.0
16,16,,9,928,7.0
17,17,,7,25,6.0
18,18,,7,928,6.0
19,19,,2,0,7.0
20,20,,1,3,7.0
21,21,,3,928,6.0
22,22,,2,0,8.0
23,23,,3,855,6.0
24,24,,2,855,7.0
25,25,,1,1195,8.0
26,26,,8,928,7.0
27,27,,0,1,6.0
28,28,,0,2,7.0
29,29,,4,855,7.0
30,30,,3,21,7.0
31,31,,9,928,7.0
32,32,,7,25,6.0
33,33,,8,1096,6.0
34,34,,3,1012,7.0
35,35,,4,64,6.0
36,36,,2,864,6.0
37,37,,2,1246,6.0
38,38,,3,3,7.0
39,39,,1,949,6.0
40,40,,6,499,6.0
41,41,,1,205,5.0
42,42,,4,1166,8.0
43,43,,1,4,6.0
44,44,,4,993,7.0
45,45,,1,132,7.0
46,46,,9,1096,8.0
47,47,,2,993,7.0
48,48,,5,855,6.0
49,49,,3,928,7.0
50,50,,3,499,6.0
51,51,,0,5,7.0
52,52,,6,64,6.0
53,53,,3,855,6.0
54,54,,0,6,7.0
55,55,,3,855,7.0
56,56,,4,993,7.0
57,57,,0,7,8.0
58,58,,1,53,6.0
59,59,,7,909,6.0
60,60,,0,8,7.0
61,61,,0,9,5.0
62,62,,1,139,6.0
63,63,,4,855,7.0
64,64,,3,1096,6.0
65,65,,11,98,8.0
66,66,,1,1012,8.0
67,67,,7,499,6.0
68,68,,5,928,7.0
69,69,,5,499,7.0
70,70,,1,671,5.0
71,71,,2,1103,5.0
72,72,,3,1192,6.0
73,73,,2,949,5.0
74,74,,1,993,8.0
75,75,,2,864,6.0
76,76,,3,64,6.0
77,77,,3,505,8.0
78,78,,4,928,7.0
79,79,,10,928,7.0
80,80,,9,855,6.0
81,81,,2,855,7.0
82,82,,2,499,7.0
83,83,,0,10,5.0
84,84,,0,11,6.0
85,85,,10,928,8.0
86,86,,6,505,6.0
87,87,,0,12,6.0
88,88,,2,949,8.0
89,89,,4,499,7.0
90,90,,1,1166,6.0
91,91,,2,499,5.0
92,92,,7,499,8.0
93,93,,2,505,6.0
94,94,,4,25,8.0
95,95,,8,64,8.0
96,96,,4,98,8.0
97,97,,0,13,7.0
98,98,,9,779,7.0
99,99,,3,993,7.0
100,100,,3,64,7.0
101,101,,2,1096,7.0
102,102,,10,1012,7.0
103,103,,1,499,6.0
104,104,,1,1195,6.0
105,105,,9,25,7.0
106,106,,10,505,6.0
107,107,,0,14,6.0
108,108,,0,15,6.0
109,109,,2,855,6.0
110,110,,2,855,7.0
111,111,,3,64,7.0
112,112,,4,1166,6.0
113,113,,13,1041,7.0
114,114,,11,1041,8.0
115,115,,3,1192,6.0
116,116,,1,928,7.0
117,117,,6,25,7.0
118,118,,0,16,8.0
119,119,,9,98,8.0
120,120,,8,1268,6.0
121,121,,14,505,6.0
122,122,,4,928,6.0
123,123,,3,993,6.0
124,124,,0,17,7.0
125,125,,2,993,7.0
126,126,,2,928,7.0
127,127,,1,1096,7.0
128,128,,1,855,7.0
129,129,,3,928,7.0
130,130,,0,18,6.0
131,131,,3,993,5.0
132,132,,3,139,6.0
133,133,,5,25,6.0
134,134,,4,993,7.0
135,135,,1,499,6.0
136,136,,3,98,6.0
137,137,,6,1162,7.0
138,138,,0,19,5.0
139,139,,6,993,7.0
140,140,,5,64,6.0
141,141,,5,1103,6.0
142,142,,11,1096,6.0
143,143,,2,25,6.0
144,144,,0,20,7.0
145,145,,6,98,7.0
146,146,,4,1268,6.0
147,147,,5,928,6.0
148,148,,3,505,5.0
149,149,,8,1079,6.0
150,150,,5,928,6.0
151,151,,6,1166,6.0
152,152,,7,1162,7.0
153,153,,4,993,7.0
154,154,,2,928,7.0
155,155,,4,505,6.0
156,156,,2,98,7.0
157,157,,1,1166,6.0
158,158,,3,993,7.0
159,159,,3,21,7.0
160,160,,9,499,8.0
161,161,,0,22,5.0
162,162,,1,1192,5.0
163,163,,1,499,7.0
164,164,,3,368,6.0
165,165,,1,1166,5.0
166,166,,4,64,5.0
167,167,,4,1568,6.0
168,168,,2,1568,6.0
169,169,,6,928,7.0
170,170,,3,928,6.0
171,171,,1,1166,7.0
172,172,,3,122,6.0
173,173,,3,779,6.0
174,174,,2,64,6.0
175,175,,1,928,6.0
176,176,,1,98,7.0
177,177,,5,909,6.0
178,178,,4,25,7.0
179,179,,2,1268,7.0
180,180,,5,1192,7.0
181,181,,6,1162,7.0
182,182,,2,928,7.0
183,183,,6,1012,7.0
184,184,,3,1079,7.0
185,185,,3,1079,6.0
186,186,,2,1162,6.0
187,187,,5,139,6.0
188,188,,0,23,6.0
189,189,,5,1166,6.0
190,190,,8,855,7.0
191,191,,10,1041,8.0
192,192,,1,779,6.0
193,193,,1,1079,5.0
194,194,,0,24,6.0
195,195,,10,505,6.0
196,196,,12,505,7.0
197,197,,7,1041,8.0
198,198,,1,139,5.0
199,199,,5,25,8.0
200,200,,8,1012,7.0
201,201,,1,1096,7.0
202,202,,3,1192,6.0
203,203,,8,1096,7.0
204,204,,3,993,7.0
205,205,,2,604,7.0
206,206,,4,139,6.0
207,207,,1,876,7.0
208,208,,0,26,6.0
209,209,,5,1192,6.0
210,210,,4,139,4.0
211,211,,2,949,6.0
212,212,,0,27,6.0
213,213,,7,993,6.0
214,214,,5,1012,6.0
215,215,,1,374,5.0
216,216,,1,1272,7.0
217,217,,1,1166,5.0
218,218,,3,1192,6.0
219,219,,7,505,5.0
220,220,,1,595,6.0
