Id,Label,timeset,degree,modularity_class,vote_average0
0,0,,6,2,7.0
1,1,,61,267,7.0
2,2,,6,40,6.0
3,3,,8,100,8.0
4,4,,3,40,6.0
5,5,,28,318,6.0
6,6,,0,0,7.0
7,7,,2,1,7.0
8,8,,1,11,7.0
9,9,,2,267,6.0
10,10,,18,225,5.0
11,11,,7,227,6.0
12,12,,59,267,7.0
13,13,,59,267,6.0
14,14,,8,248,7.0
15,15,,31,180,6.0
16,16,,2,1,7.0
17,17,,7,293,6.0
18,18,,6,293,6.0
19,19,,8,493,7.0
20,20,,2,509,7.0
21,21,,4,267,6.0
22,22,,8,493,8.0
23,23,,5,425,6.0
24,24,,2,493,7.0
25,25,,6,2,8.0
26,26,,15,361,7.0
27,27,,5,180,6.0
28,28,,1,3,7.0
29,29,,6,40,7.0
30,30,,9,293,7.0
31,31,,22,351,7.0
32,32,,45,293,6.0
33,33,,9,220,6.0
34,34,,0,4,7.0
35,35,,13,351,6.0
36,36,,13,351,6.0
37,37,,9,293,6.0
38,38,,5,267,7.0
39,39,,1,23,6.0
40,40,,0,5,6.0
41,41,,7,495,5.0
42,42,,0,6,8.0
43,43,,6,220,6.0
44,44,,22,351,7.0
45,45,,7,227,7.0
46,46,,18,225,8.0
47,47,,16,222,7.0
48,48,,18,225,6.0
49,49,,11,248,7.0
50,50,,7,64,6.0
51,51,,7,267,7.0
52,52,,13,351,6.0
53,53,,26,439,6.0
54,54,,0,7,7.0
55,55,,0,8,7.0
56,56,,4,351,7.0
57,57,,25,40,8.0
58,58,,9,220,6.0
59,59,,3,14,6.0
60,60,,12,239,7.0
61,61,,16,222,5.0
62,62,,1,11,6.0
63,63,,30,180,7.0
64,64,,18,225,6.0
65,65,,65,100,8.0
66,66,,2,222,8.0
67,67,,3,361,6.0
68,68,,7,267,7.0
69,69,,20,379,7.0
70,70,,16,181,5.0
71,71,,8,445,5.0
72,72,,4,420,6.0
73,73,,6,201,5.0
74,74,,51,220,8.0
75,75,,5,222,6.0
76,76,,3,134,6.0
77,77,,17,222,8.0
78,78,,4,445,7.0
79,79,,4,445,7.0
80,80,,1,100,6.0
81,81,,1,100,7.0
82,82,,6,222,7.0
83,83,,2,153,5.0
84,84,,0,9,6.0
85,85,,15,361,8.0
86,86,,3,222,6.0
87,87,,7,222,6.0
88,88,,15,361,8.0
89,89,,15,361,7.0
90,90,,12,239,6.0
91,91,,3,14,5.0
92,92,,2,39,8.0
93,93,,35,325,6.0
94,94,,7,248,8.0
95,95,,9,100,8.0
96,96,,9,100,8.0
97,97,,0,10,7.0
98,98,,7,493,7.0
99,99,,8,445,7.0
100,100,,9,264,7.0
101,101,,3,361,7.0
102,102,,5,100,7.0
103,103,,6,267,6.0
104,104,,6,100,6.0
105,105,,3,293,7.0
106,106,,2,180,6.0
107,107,,4,179,6.0
108,108,,7,267,6.0
109,109,,5,293,6.0
110,110,,11,351,7.0
111,111,,8,351,7.0
112,112,,13,493,6.0
113,113,,2,11,7.0
114,114,,6,64,8.0
115,115,,5,180,6.0
116,116,,5,100,7.0
117,117,,43,293,7.0
118,118,,7,222,8.0
119,119,,62,100,8.0
120,120,,3,267,6.0
121,121,,10,220,6.0
122,122,,3,351,6.0
123,123,,5,222,6.0
124,124,,1,220,7.0
125,125,,5,222,7.0
126,126,,2,351,7.0
127,127,,7,439,7.0
128,128,,15,267,7.0
129,129,,6,73,7.0
130,130,,0,12,6.0
131,131,,0,13,5.0
132,132,,4,351,6.0
133,133,,43,293,6.0
134,134,,1,71,7.0
135,135,,6,293,6.0
136,136,,1,20,6.0
137,137,,4,267,7.0
138,138,,10,100,5.0
139,139,,13,222,7.0
140,140,,3,14,6.0
141,141,,2,267,6.0
142,142,,4,180,6.0
143,143,,5,225,6.0
144,144,,5,267,7.0
145,145,,6,100,7.0
146,146,,6,267,6.0
147,147,,4,134,6.0
148,148,,3,177,5.0
149,149,,28,351,6.0
150,150,,8,293,6.0
151,151,,2,239,6.0
152,152,,1,267,7.0
153,153,,8,222,7.0
154,154,,0,15,7.0
155,155,,3,308,6.0
156,156,,9,267,7.0
157,157,,14,267,6.0
158,158,,12,222,7.0
159,159,,12,293,7.0
160,160,,2,39,8.0
161,161,,4,325,5.0
162,162,,2,445,5.0
163,163,,5,248,7.0
164,164,,1,134,6.0
165,165,,10,293,5.0
166,166,,15,361,5.0
167,167,,2,411,6.0
168,168,,0,16,6.0
169,169,,3,293,7.0
