,0
0,7.0
1,7.0
2,6.0
3,8.0
4,6.0
5,6.0
6,7.0
7,7.0
8,7.0
9,6.0
10,5.0
11,6.0
12,7.0
13,6.0
14,7.0
15,6.0
16,7.0
17,6.0
18,6.0
19,7.0
20,7.0
21,6.0
22,8.0
23,6.0
24,7.0
25,8.0
26,7.0
27,6.0
28,7.0
29,7.0
30,7.0
31,7.0
32,6.0
33,6.0
34,7.0
35,6.0
36,6.0
37,6.0
38,7.0
39,6.0
40,6.0
41,5.0
42,8.0
43,6.0
44,7.0
45,7.0
46,8.0
47,7.0
48,6.0
49,7.0
50,6.0
51,7.0
52,6.0
53,6.0
54,7.0
55,7.0
56,7.0
57,8.0
58,6.0
59,6.0
60,7.0
61,5.0
62,6.0
63,7.0
64,6.0
65,8.0
66,8.0
67,6.0
68,7.0
69,7.0
70,5.0
71,5.0
72,6.0
73,5.0
74,8.0
75,6.0
76,6.0
77,8.0
78,7.0
79,7.0
80,6.0
81,7.0
82,7.0
83,5.0
84,6.0
85,8.0
86,6.0
87,6.0
88,8.0
89,7.0
90,6.0
91,5.0
92,8.0
93,6.0
94,8.0
95,8.0
96,8.0
97,7.0
98,7.0
99,7.0
100,7.0
101,7.0
102,7.0
103,6.0
104,6.0
105,7.0
106,6.0
107,6.0
108,6.0
109,6.0
110,7.0
111,7.0
112,6.0
113,7.0
114,8.0
115,6.0
116,7.0
117,7.0
118,8.0
119,8.0
120,6.0
121,6.0
122,6.0
123,6.0
124,7.0
125,7.0
126,7.0
127,7.0
128,7.0
129,7.0
130,6.0
131,5.0
132,6.0
133,6.0
134,7.0
135,6.0
136,6.0
137,7.0
138,5.0
139,7.0
140,6.0
141,6.0
142,6.0
143,6.0
144,7.0
145,7.0
146,6.0
147,6.0
148,5.0
149,6.0
150,6.0
151,6.0
152,7.0
153,7.0
154,7.0
155,6.0
156,7.0
157,6.0
158,7.0
159,7.0
160,8.0
161,5.0
162,5.0
163,7.0
164,6.0
165,5.0
166,5.0
167,6.0
168,6.0
169,7.0
170,6.0
171,7.0
172,6.0
173,6.0
174,6.0
175,6.0
176,7.0
177,6.0
178,7.0
179,7.0
180,7.0
181,7.0
182,7.0
183,7.0
184,7.0
185,6.0
186,6.0
187,6.0
188,6.0
189,6.0
190,7.0
191,8.0
192,6.0
193,5.0
194,6.0
195,6.0
196,7.0
197,8.0
198,5.0
199,8.0
200,7.0
201,7.0
202,6.0
203,7.0
204,7.0
205,7.0
206,6.0
207,7.0
208,6.0
209,6.0
210,4.0
211,6.0
212,6.0
213,6.0
214,6.0
215,5.0
216,7.0
217,5.0
218,6.0
219,5.0
220,6.0
221,5.0
222,6.0
223,6.0
224,6.0
225,6.0
226,5.0
227,6.0
228,6.0
229,7.0
230,6.0
231,8.0
232,6.0
233,6.0
234,7.0
235,5.0
236,6.0
237,6.0
238,6.0
239,7.0
240,6.0
241,6.0
242,4.0
243,6.0
244,6.0
245,6.0
246,7.0
247,6.0
248,7.0
249,6.0
250,7.0
251,5.0
252,6.0
253,6.0
254,6.0
255,6.0
256,6.0
257,7.0
258,6.0
259,4.0
260,7.0
261,6.0
262,8.0
263,6.0
264,7.0
265,5.0
266,7.0
267,7.0
268,6.0
269,7.0
270,8.0
271,7.0
272,4.0
273,6.0
274,8.0
275,7.0
276,7.0
277,7.0
278,6.0
279,8.0
280,7.0
281,7.0
282,7.0
283,6.0
284,5.0
285,6.0
286,6.0
287,8.0
288,7.0
289,7.0
290,6.0
291,6.0
292,5.0
293,6.0
294,6.0
295,6.0
296,6.0
297,7.0
298,8.0
299,5.0
300,7.0
301,7.0
302,7.0
303,4.0
304,6.0
305,7.0
306,5.0
307,6.0
308,6.0
309,4.0
310,7.0
